epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,590.233,1.22696,0.76972,1.30166,0.97377,0.9,0.89784,0.57188,1.4914,0.7646,1.32266,0.0011609,0.0011609,0.0011609
94,596.747,1.1871,0.72382,1.28063,0.97835,0.9,0.90224,0.60791,1.42828,0.79774,1.27088,0.0011554,0.0011554,0.0011554
95,602.28,1.17212,0.72092,1.24997,0.98229,0.9,0.90118,0.58811,1.42183,0.78167,1.27264,0.0011499,0.0011499,0.0011499
96,608.903,1.18427,0.74219,1.28116,0.97953,0.9,0.89929,0.53926,1.52345,1.0429,1.39421,0.0011444,0.0011444,0.0011444
97,614.541,1.20345,0.73453,1.27986,0.97712,0.9,0.901,0.54982,1.55822,0.91301,1.37495,0.00113889,0.00113889,0.00113889
98,620.531,1.18084,0.72624,1.27424,0.96031,0.9,0.902,0.57323,1.44245,0.94929,1.31006,0.00113339,0.00113339,0.00113339
99,626.92,1.19865,0.74325,1.26068,0.9225,0.9,0.90136,0.5639,1.60525,1.0684,1.40402,0.00112789,0.00112789,0.00112789
100,632.876,1.16592,0.75795,1.26341,0.98702,0.9,0.9125,0.59512,1.50977,0.74003,1.32001,0.00112239,0.00112239,0.00112239
101,638.944,1.21787,0.73148,1.30198,0.9865,0.9,0.91115,0.60124,1.4013,0.7535,1.24122,0.00111689,0.00111689,0.00111689
102,644.527,1.20111,0.73891,1.29556,0.95328,0.91889,0.995,0.59113,1.47118,0.63668,1.27138,0.00111139,0.00111139,0.00111139
103,650.966,1.22398,0.74754,1.2965,0.97824,1,0.995,0.60591,1.50883,0.65139,1.29799,0.00110589,0.00110589,0.00110589
104,656.959,1.20238,0.73493,1.2905,0.98861,1,0.995,0.65961,1.41525,0.51481,1.26319,0.00110039,0.00110039,0.00110039
105,663.54,1.14424,0.68748,1.25908,0.92156,0.9,0.90038,0.56655,1.55843,1.12184,1.40721,0.00109489,0.00109489,0.00109489
106,669.316,1.16575,0.71151,1.2584,0.95804,0.9,0.89796,0.53403,1.49639,1.10112,1.43485,0.00108938,0.00108938,0.00108938
107,675.859,1.17062,0.73017,1.27999,0.90553,0.9,0.89947,0.57832,1.43928,0.86514,1.33745,0.00108388,0.00108388,0.00108388
108,681.645,1.1593,0.77536,1.27493,0.95617,0.9,0.9025,0.61135,1.49677,0.97121,1.41255,0.00107838,0.00107838,0.00107838
109,688.196,1.18337,0.74847,1.24356,0.97809,0.9,0.9055,0.58546,1.66863,1.05701,1.50784,0.00107288,0.00107288,0.00107288
110,693.692,1.15033,0.71616,1.25027,0.97723,0.9,0.90667,0.60507,1.49691,0.96678,1.41203,0.00106738,0.00106738,0.00106738
111,700.294,1.15018,0.70268,1.23224,0.97355,0.9,0.905,0.51438,1.54188,0.99486,1.45723,0.00106188,0.00106188,0.00106188
112,705.967,1.18292,0.75292,1.26161,0.98634,0.9,0.90118,0.52113,1.45833,0.85316,1.37258,0.00105638,0.00105638,0.00105638
113,712.429,1.16026,0.72365,1.25988,0.98046,0.9,0.90038,0.57999,1.34206,0.84182,1.26876,0.00105088,0.00105088,0.00105088
114,718.238,1.16115,0.69899,1.23688,0.91612,0.9,0.9025,0.60892,1.41683,0.89697,1.3389,0.00104538,0.00104538,0.00104538
115,724.627,1.20286,0.76244,1.26828,0.9824,0.9,0.9025,0.55036,1.42863,0.76473,1.30923,0.00103987,0.00103987,0.00103987
116,730.377,1.14387,0.73271,1.23414,0.97636,0.9,0.89957,0.59815,1.47633,0.87626,1.36434,0.00103437,0.00103437,0.00103437
117,736.167,1.1176,0.72783,1.25451,0.98718,0.9,0.90083,0.58781,1.43809,0.75456,1.28728,0.00102887,0.00102887,0.00102887
118,742.603,1.19697,0.72567,1.26017,0.97464,0.9,0.89957,0.58928,1.392,0.88529,1.27443,0.00102337,0.00102337,0.00102337
119,748.096,1.1273,0.70311,1.23318,0.97908,0.9,0.97833,0.60098,1.46852,0.55139,1.26558,0.00101787,0.00101787,0.00101787
120,754.859,1.15934,0.74139,1.26012,0.98539,1,0.995,0.61686,1.41155,0.54229,1.24707,0.00101237,0.00101237,0.00101237
121,760.506,1.12324,0.68209,1.25896,0.98467,1,0.995,0.65157,1.43663,0.5453,1.27362,0.00100687,0.00100687,0.00100687
122,767.166,1.15035,0.68932,1.25128,0.97693,0.9,0.90375,0.54178,1.63479,0.94494,1.49844,0.00100137,0.00100137,0.00100137
123,772.796,1.15158,0.68431,1.24579,0.97425,0.9,0.90375,0.54207,1.65993,0.96259,1.48464,0.000995866,0.000995866,0.000995866
124,779.561,1.06306,0.64689,1.19241,0.9646,0.9,0.90308,0.54754,1.57905,0.85066,1.42748,0.000990365,0.000990365,0.000990365
125,786.028,1.10493,0.67863,1.23088,0.97208,0.9,0.90156,0.52222,1.50999,0.86024,1.42965,0.000984864,0.000984864,0.000984864
126,792.798,1.20709,0.74885,1.29638,0.96269,0.9,0.90068,0.58431,1.56409,0.90711,1.47586,0.000979362,0.000979362,0.000979362
127,798.389,1.07263,0.68805,1.21983,0.96388,0.9,0.89977,0.65541,1.35368,0.77385,1.23579,0.000973861,0.000973861,0.000973861
128,804.995,1.08022,0.65664,1.20266,0.98813,1,0.995,0.64548,1.38248,0.48713,1.27397,0.00096836,0.00096836,0.00096836
129,810.69,1.10015,0.72112,1.2216,0.96881,0.9,0.90224,0.57751,1.53345,0.88117,1.39664,0.000962859,0.000962859,0.000962859
130,817.334,1.09983,0.66039,1.20519,0.94939,0.9,0.90735,0.57223,1.53274,0.94434,1.3997,0.000957358,0.000957358,0.000957358
131,822.922,1.14588,0.72436,1.25797,0.97389,0.9,0.9034,0.57311,1.55934,0.97285,1.39619,0.000951857,0.000951857,0.000951857
132,829.443,1.10537,0.69619,1.22988,0.95128,0.9,0.89967,0.60488,1.47388,0.93159,1.39601,0.000946356,0.000946356,0.000946356
133,835.122,1.10656,0.70111,1.23696,0.97415,0.9,0.90038,0.56794,1.49621,0.82393,1.35385,0.000940855,0.000940855,0.000940855
134,841.823,1.1316,0.69758,1.25537,0.97615,0.9,0.905,0.57433,1.42732,0.92443,1.33836,0.000935354,0.000935354,0.000935354
135,847.602,1.11556,0.72089,1.22608,0.98001,0.9,0.90413,0.58091,1.43278,0.86665,1.31557,0.000929853,0.000929853,0.000929853
136,853.854,1.05986,0.68573,1.21144,0.94695,0.9,0.90308,0.6199,1.3837,0.96228,1.28942,0.000924352,0.000924352,0.000924352
137,859.898,1.07183,0.67152,1.18587,0.90391,0.9,0.82824,0.55211,1.37479,0.9004,1.25624,0.00091885,0.00091885,0.00091885
138,865.784,1.11188,0.69045,1.21842,0.90311,0.9,0.89542,0.58153,1.41172,0.73957,1.3046,0.000913349,0.000913349,0.000913349
139,872.253,1.07671,0.65917,1.20114,0.89733,0.9,0.86,0.56473,1.40459,0.75332,1.26912,0.000907848,0.000907848,0.000907848
140,877.854,1.06367,0.64758,1.19038,0.97678,0.9,0.90735,0.60653,1.44764,0.83536,1.30944,0.000902347,0.000902347,0.000902347
141,884.575,1.12407,0.67007,1.22117,0.98669,0.9,0.90812,0.61105,1.45935,0.75615,1.31471,0.000896846,0.000896846,0.000896846
142,890.275,1.06036,0.67974,1.21435,0.9886,0.9,0.909,0.60462,1.44274,0.79095,1.34736,0.000891345,0.000891345,0.000891345
143,896.835,1.04794,0.63093,1.17089,0.98869,0.9,0.909,0.60542,1.53092,0.86451,1.39579,0.000885844,0.000885844,0.000885844
144,902.716,1.07922,0.67672,1.22665,0.98557,0.9,0.9055,0.61148,1.46307,0.83589,1.33072,0.000880343,0.000880343,0.000880343
145,909.329,1.03093,0.64225,1.18468,0.98757,0.9,0.90278,0.5711,1.3907,0.66998,1.26913,0.000874842,0.000874842,0.000874842
146,914.972,1.08298,0.62355,1.19416,0.98827,0.9,0.9125,0.5558,1.5571,0.80194,1.39907,0.00086934,0.00086934,0.00086934
147,921.64,1.07144,0.63574,1.19296,0.98768,0.9,0.92125,0.6028,1.46972,0.8242,1.29921,0.000863839,0.000863839,0.000863839
148,927.357,1.02989,0.65022,1.16846,0.9858,0.9,0.90308,0.58475,1.52834,0.79596,1.37143,0.000858338,0.000858338,0.000858338
149,933.784,1.02944,0.63336,1.19092,0.9788,0.9,0.90053,0.5654,1.48925,0.88451,1.31558,0.000852837,0.000852837,0.000852837
150,939.859,1.09438,0.69607,1.20956,0.93084,0.9,0.91833,0.62649,1.40549,0.86466,1.28522,0.000847336,0.000847336,0.000847336
151,946.202,1.0302,0.63057,1.16282,0.96588,0.9,0.91833,0.62152,1.3803,0.79169,1.28108,0.000841835,0.000841835,0.000841835
152,952.13,1.10155,0.65754,1.21302,0.98032,0.9,0.91833,0.58083,1.59024,0.85952,1.41435,0.000836334,0.000836334,0.000836334
153,958.494,1.05164,0.65887,1.18253,0.9768,0.9,0.91833,0.60568,1.53237,0.97033,1.38125,0.000830833,0.000830833,0.000830833
154,964.33,1.04667,0.65668,1.1668,0.98774,0.9,0.91833,0.59689,1.51871,0.80975,1.37795,0.000825332,0.000825332,0.000825332
155,970.244,1.04142,0.66012,1.16995,0.98901,0.9,0.91115,0.57857,1.50944,0.81012,1.37595,0.000819831,0.000819831,0.000819831
156,976.667,1.0972,0.70041,1.21552,0.95539,0.9,0.89809,0.60313,1.47601,0.85025,1.3041,0.000814329,0.000814329,0.000814329
157,983.429,1.04386,0.64951,1.1898,0.9482,0.9,0.90177,0.60823,1.48523,0.87685,1.31924,0.000808828,0.000808828,0.000808828
158,990.213,0.98656,0.63793,1.16652,0.98682,0.9,0.90735,0.62485,1.50122,0.88878,1.33147,0.000803327,0.000803327,0.000803327
159,995.837,1.04206,0.63418,1.17606,0.95344,0.9,0.90812,0.58964,1.58836,0.9946,1.39145,0.000797826,0.000797826,0.000797826
160,1002.47,1.05819,0.65732,1.2092,0.96375,0.9,0.90735,0.59206,1.52207,0.8444,1.33388,0.000792325,0.000792325,0.000792325
161,1008.13,1.05885,0.63866,1.19216,0.96843,0.9,0.90812,0.55206,1.63633,0.91725,1.50847,0.000786824,0.000786824,0.000786824
162,1014.72,1.01807,0.61688,1.17469,0.98762,0.9,0.91,0.58607,1.54004,0.90284,1.44293,0.000781323,0.000781323,0.000781323
163,1020.49,1.0173,0.59965,1.19241,0.98636,0.9,0.91115,0.58353,1.43506,0.81441,1.36649,0.000775822,0.000775822,0.000775822
164,1026.96,1.00606,0.63902,1.16799,0.97781,0.9,0.90413,0.54753,1.56994,0.92854,1.43307,0.000770321,0.000770321,0.000770321
165,1032.63,0.9823,0.63158,1.15838,0.98185,0.9,0.89844,0.5795,1.39499,0.87885,1.33038,0.00076482,0.00076482,0.00076482
166,1039.37,0.98597,0.59726,1.15094,0.98532,0.9,0.898,0.56357,1.43365,0.92743,1.33582,0.000759318,0.000759318,0.000759318
167,1044.96,0.97116,0.58099,1.12885,0.93916,0.99205,0.995,0.64241,1.39696,0.56167,1.26464,0.000753817,0.000753817,0.000753817
168,1051.71,0.97826,0.59549,1.14856,0.9249,0.99368,0.995,0.65712,1.47632,0.61597,1.28607,0.000748316,0.000748316,0.000748316
169,1057.42,1.02319,0.64374,1.19162,0.98566,0.9,0.9575,0.61582,1.47052,0.83057,1.29856,0.000742815,0.000742815,0.000742815
170,1063.95,1.02647,0.62465,1.18257,0.97911,0.9,0.90224,0.57818,1.55129,0.62715,1.32116,0.000737314,0.000737314,0.000737314
171,1069.69,0.96665,0.5889,1.13718,0.98161,0.9,0.90308,0.57894,1.45548,0.91383,1.33644,0.000731813,0.000731813,0.000731813
172,1075.76,0.96648,0.60463,1.15198,0.98707,0.9,0.89947,0.57437,1.49553,0.90519,1.34514,0.000726312,0.000726312,0.000726312
173,1082,0.92359,0.53601,1.11643,0.98575,0.9,0.90812,0.57689,1.53689,0.83519,1.38918,0.000720811,0.000720811,0.000720811
174,1088.11,1.00497,0.59915,1.16377,0.98643,0.9,0.91409,0.56341,1.5235,0.80335,1.36527,0.00071531,0.00071531,0.00071531
175,1094.54,0.98087,0.619,1.14853,0.98493,0.9,0.90605,0.52036,1.65893,0.86006,1.47534,0.000709809,0.000709809,0.000709809
176,1100.23,0.98153,0.62454,1.16303,0.98488,0.9,0.909,0.60754,1.46271,0.73517,1.33574,0.000704307,0.000704307,0.000704307
177,1106.74,0.95472,0.59095,1.13755,0.98775,0.9,0.90735,0.56325,1.48567,0.77516,1.34489,0.000698806,0.000698806,0.000698806
178,1112.41,0.9985,0.63635,1.15361,0.98679,0.9,0.91,0.57092,1.62433,0.84824,1.44551,0.000693305,0.000693305,0.000693305
179,1119.18,0.97323,0.61169,1.14477,0.98295,0.9,0.91,0.57589,1.64785,0.80144,1.45473,0.000687804,0.000687804,0.000687804
180,1124.81,0.96603,0.6156,1.15979,0.98427,0.9,0.91,0.59587,1.55909,0.8258,1.42056,0.000682303,0.000682303,0.000682303
181,1131.61,1.00325,0.64725,1.17782,0.98723,0.9,0.9125,0.59932,1.50629,0.88821,1.44089,0.000676802,0.000676802,0.000676802
182,1137.38,0.96361,0.6075,1.13853,0.9897,0.9,0.925,0.60273,1.47198,0.76636,1.33916,0.000671301,0.000671301,0.000671301
183,1144.07,1.02219,0.60666,1.16211,0.98907,0.9,0.93,0.63656,1.39377,0.74963,1.31107,0.0006658,0.0006658,0.0006658
184,1149.73,1.01172,0.63162,1.18211,0.98885,0.9,0.91409,0.62692,1.44208,0.71473,1.31702,0.000660299,0.000660299,0.000660299
185,1156.48,0.95467,0.56521,1.12357,0.98395,0.9,0.905,0.55011,1.458,0.7965,1.32494,0.000654798,0.000654798,0.000654798
